keys,pt_BR,en,es
"CONTINUAR","CONTINUAR","CONTINUE","CONTINUAR"
"CONFIGURAÇÕES","CONFIGURAÇÕES","SETTINGS","AJUSTES"
"SALVAR","SALVAR","SAVE","GUARDAR"
"VOLTAR AO ÍNICIO","VOLTAR AO ÍNICIO","BACK TO START","VOLVER AL INICIO"
"SETUP","SETUP","SETUP","SETUP"
"IDIOMA","IDIOMA","LANGUAGE","IDIOMA"
"MÚSICA","MÚSICA","MUSIC","MÚSICA"
"EFEITOS SONOROS","EFEITOS SONOROS","SOUND EFFECTS","EFECTOS DE SONIDO"
"INFORMAÇÕES","INFORMAÇÕES","INFORMATION","INFORMACIÓN"
"SOBRE O PROJETO","SOBRE O PROJETO","ABOUT THE PROJECT","SOBRE EL PROYECTO"
"COMO JOGAR","COMO JOGAR","HOW TO PLAY","CÓMO JUGAR"
"VERSÃO","VERSÃO","VERSION","VERSIÓN"
"ACESSIBILIDADE","ACESSIBILIDADE","ACCESSIBILITY","ACCESIBILIDAD"
"FILTRO PARA DALTONISMO","FILTRO PARA DALTONISMO","COLORBLINDNESS FILTER","FILTRO PARA DALTONISMO"
"TAMANHO DA FONTE","TAMANHO DA FONTE","FONT SIZE","TAMAÑO DE FUENTE"
"FONTE","FONTE","FONT","FUENTE"
"ou","ou","or","o"
"Mover-se","Mover-se","Move","Moverse"
"Continuar","Continuar","Continue","Continuar"
"Interagir","Interagir","Interact","Interactuar"
"Inventário","Inventário","Inventory","Inventario"
"Traduzir diálogos","Traduzir diálogos","Translate dialogues","Traducir diálogos"
"Pausar","Pausar","Pause","Pausa"
