keys,pt_BR,en
"Lyanna… Lyanna?","Lyanna… Lyanna?","Lyanna… Lyanna?"
"Lya, acorda!","Lya, acorda!","Lya, wake up!"
"Hm... pai?","Hm... pai?","Hm... dad?"
"Do que você me chamou? Tá sonhando acordada?","Do que você me chamou? Tá sonhando acordada?","What did you call me? Are you dreaming awake?"
"Oque você quer? Fala logo que eu quero dormir.","Oque você quer? Fala logo que eu quero dormir.","What do you want? Just tell me. I want to sleep."
"A Cecília tá lá na sala te esperando.","A Cecília tá lá na sala te esperando.","Cecília is waiting for you in the living room."
"O que responder?","O que responder?","What should I say?"
"Perguntar porque ela está lá","Perguntar porque ela está lá","Ask why she is there"
"Dizer que já vai","Dizer que já vai","Say you're coming"
"A Cecília? O que ela tá fazendo aqui tão cedo?","A Cecília? O que ela tá fazendo aqui tão cedo?","Cecília? What is she doing here so early?"
"Esqueceu que é o aniversário dela? Ela veio direto do Terminal e tá esperando lá na sala.","Esqueceu que é o aniversário dela? Ela veio direto do Terminal e tá esperando lá na sala.","Did you forget it's her birthday? She came straight from the terminal and she's waiting in the living room."
"Nossa, é verdade… eu perdi o sono com...","Nossa, é verdade… eu perdi o sono com...","Oh, that's right… I couldn't sleep because..."
"Com…?","Com…?","Because of…?"
"Hããã… Fala pra ela que já vou ir.","Hããã… Fala pra ela que já vou ir.","Uhh… Tell her I'll be there soon."
"Tá, tá... fala pra ela que eu já levantei.","Tá, tá... fala pra ela que eu já levantei.","Okay, okay... tell her I'm already up."
"Você esqueceu que ela ia vir, né? Você até prometeu um café pra ela.","Você esqueceu que ela ia vir, né? Você até prometeu um café pra ela.","You forgot she was coming, didn't you? You even promised her coffee."
"Não é isso, eu só perdi o sono com...","Não é isso, eu só perdi o sono com...","That's not it. I just couldn't sleep because of..."
"Não é nada, vai lá avisar pra ela.","Não é nada, vai lá avisar pra ela.","It's nothing. Go tell her."
